

 ------- Summary -----------

 Trial: 00

 Single Pointing

 IPA Pointing No:         100

 Pointing information:

 RA, Dec of Central Pointing:
 Nod 0:     53.1409714   -27.7919712

 Official Assigned APT/MPT roll angle:
 PA_AP:    99.574600

 Actual MSA roll angle:
 PA_AP:    99.579041
 PA_V3:   321.004456

 RA, Dec of Nodded Pointings:
 Nod 1:     53.1411352   -27.7919957
 Nod 2:     53.1408077   -27.7919468

 MSA mask intended for: PRISM/CLEAR         

 Acceptance Zone Thresholds:  0.343 0.420
 Acceptance Zone Open Area Filling Factor:  0.576

 Overlap Acceptance Threshold: 3.500

 Total number of targets in input catalog:           13119
 Number of targets in Viable Slitlets:                1565
 Number of accepted targets:                           155
 Number of added spare slitlets:                         0


 Target breakdown by Priority Class:

   PrCl   In Catalog   In Slitlets   Accepted   % Accepted
    1           4           4           4         100.00
    2           2           1           1         100.00
    3           4           1           1         100.00
    4         129          27          24          88.89
    5          19           4           2          50.00
    6          46           7           2          28.57
    7          89          14           5          35.71
    8           2           1           0           0.00
    9           5           0           0            NaN
   10          15           4           0           0.00
   11          20           3           1          33.33
   12         412          47          24          51.06
   13         830         103          25          24.27
   14        1502         166          22          13.25
   15        1910         237          19           8.02
   16           3           0           0            NaN
   17        2391         282           9           3.19
   18        2506         324          12           3.70
   19         466          60           0           0.00
   20        2127         280           4           1.43


 Accepted targets, assigned slitlets and intra-shutter locations:

  No    ID_sub        ID_cat  pri  k0 i0  j0   rx0    ry0    k2 i2  j2   rx2    ry2    k1 i1  j1   rx1    ry1
   1         1         14170   1   1 148  93  0.218 -0.298   1 148  92  0.229 -0.288   1 148  94  0.206 -0.309
   2         2         14220   1   1 132  86 -0.232 -0.175   1 132  85 -0.220 -0.164   1 132  87 -0.244 -0.186
   3         3          6139   1   3  46  56 -0.222  0.319   3  46  55 -0.225  0.332   3  46  57 -0.220  0.305
   4         4         58975   1   2 234 156 -0.085  0.282   2 234 155 -0.080  0.266   2 234 157 -0.090  0.298
   5         6         10514   2   3 355 143 -0.324  0.292   3 355 142 -0.338  0.298   3 355 144 -0.310  0.285
   6         8         14177   3   1 128 122  0.041 -0.034   1 128 121  0.052 -0.026   1 128 123  0.029 -0.041
   7        11         13609   4   2  84 139  0.072  0.266   2  84 138  0.081  0.252   2  84 140  0.063  0.280
   8        12         13577   4   2 250  46  0.053  0.383   2 250  45  0.059  0.376   2 250  47  0.048  0.390
   9        16         13704   4   4 333  22 -0.174  0.228   4 333  21 -0.186  0.224   4 333  23 -0.162  0.232
  10        20         13878   4   4 187  35  0.017 -0.125   4 187  34  0.010 -0.130   4 187  36  0.024 -0.119
  11        32         13905   4   2 148 127 -0.261  0.337   2 148 126 -0.254  0.324   2 148 128 -0.269  0.351
  12        38         15125   4   4 244 129  0.019  0.035   4 244 128  0.011  0.022   4 244 130  0.027  0.048
  13        43          9842   4   1  39 159 -0.204 -0.410   1  39 158 -0.190 -0.405   1  39 160 -0.219 -0.414
  14        52         13885   4   2 185  41 -0.042 -0.162   2 185  40 -0.035 -0.169   2 185  42 -0.050 -0.156
  15        54          4296   4   1 163 135  0.003 -0.047   1 163 134  0.013 -0.041   1 163 136 -0.007 -0.054
  16        65         13620   4   2  27 112  0.138 -0.369   2  27 111  0.149 -0.381   2  27 113  0.127 -0.358
  17        66         13877   4   4 187  10  0.176 -0.332   4 187   9  0.168 -0.335   4 187  11  0.183 -0.328
  18        68          5173   4   1  48 141  0.062  0.098   1  48 140  0.076  0.104   1  48 142  0.047  0.092
  19        69         13361   4   2 165  80 -0.244 -0.412   2 165  79 -0.236 -0.421   2 165  81 -0.251 -0.402
  20        71          9880   4   1 100 114 -0.316 -0.411   1 100 113 -0.303 -0.403   1 100 115 -0.329 -0.420
  21        73         14132   4   2 220  10 -0.273  0.258   2 220   9 -0.266  0.254   2 220  11 -0.280  0.261
  22        91          9663   4   3 238  65 -0.306 -0.197   3 238  64 -0.317 -0.184   3 238  66 -0.296 -0.210
  23        99          9414   4   1  63  21  0.151 -0.052   1  63  20  0.166 -0.035   1  63  22  0.136 -0.068
  24       103         15134   4   4 226 135  0.174 -0.415   4 226 134  0.166 -0.428   4 226 136  0.182 -0.401
  25       105          9724   4   3  17 127 -0.340 -0.352   3  17 126 -0.341 -0.345   3  17 128 -0.338 -0.359
  26       108         13176   4   4  71  74 -0.181 -0.282   4  71  73 -0.185 -0.292   4  71  75 -0.178 -0.273
  27       111          9903   4   1 179  56  0.200 -0.123   1 179  55  0.210 -0.109   1 179  57  0.189 -0.136
  28       121         13309   4   4 181  91 -0.120 -0.311   4 181  90 -0.127 -0.322   4 181  92 -0.113 -0.301
  29       126          9315   4   3  59 112  0.047 -0.082   3  59 111  0.044 -0.074   3  59 113  0.050 -0.091
  30       137         13618   4   2  37 132 -0.082  0.245   2  37 131 -0.072  0.232   2  37 133 -0.092  0.258
  31       145         36017   5   4 247 156  0.059  0.317   4 247 155  0.051  0.302   4 247 157  0.067  0.332
  32       157          8071   5   1 109 150  0.137  0.157   1 109 149  0.149  0.162   1 109 151  0.125  0.152
  33       171          5113   6   3  49  39  0.245  0.051   3  49  38  0.243  0.067   3  49  40  0.248  0.036
  34       183          3803   6   1  37 154  0.238  0.412   1  37 153  0.253  0.418   1  37 155  0.224  0.407
  35       205         14117   7   1 197 109  0.111 -0.010   1 197 108  0.121 -0.001   1 197 110  0.102 -0.019
  36       235         14162   7   3  67 123  0.233  0.211   3  67 122  0.230  0.218   3  67 124  0.237  0.203
  37       250         14109   7   3  46  79 -0.266 -0.041   3  46  78 -0.268 -0.029   3  46  80 -0.263 -0.052
  38       255         14142   7   3  67 117  0.251  0.398   3  67 116  0.248  0.407   3  67 118  0.254  0.390
  39       274         14169   7   1 172  75  0.064 -0.311   1 172  74  0.074 -0.299   1 172  76  0.053 -0.323
  40       319          9175  11   1 104  35 -0.276  0.409   1 104  34 -0.262  0.425   1 104  36 -0.289  0.394
  41       359         16167  12   4 204 120  0.338 -0.320   4 204 119  0.331 -0.332   4 204 121  0.345 -0.307
  42       392         56849  12   2 208 152  0.146 -0.145   2 208 151  0.152 -0.160   2 208 153  0.141 -0.130
  43       395         11987  12   1 161 164 -0.329  0.237   1 161 163 -0.318  0.241   1 161 165 -0.339  0.233
  44       408          1796  12   4  73  14  0.185 -0.203   4  73  13  0.182 -0.207   4  73  15  0.189 -0.198
  45       412          5223  12   3 247  84 -0.166  0.306   3 247  83 -0.176  0.317   3 247  85 -0.156  0.295
  46       439         10715  12   4 352  31 -0.065 -0.383   4 352  30 -0.078 -0.387   4 352  32 -0.053 -0.378
  47       461          9695  12   3  52  67 -0.187 -0.309   3  52  66 -0.190 -0.296   3  52  68 -0.184 -0.321
  48       473           529  12   3 209  24  0.167 -0.082   3 209  23  0.158 -0.065   3 209  25  0.176 -0.098
  49       477         13318  12   4 103  98 -0.189 -0.267   4 103  97 -0.193 -0.278   4 103  99 -0.185 -0.256
