
 Target list:
   No   No_sub        No_cat  Pri
    1        1         14170   1
    2        2         14220   1
    3        3          6139   1
    4        4         58975   1
    5        6         10514   2
    6        8         14177   3
    7       11         13609   4
    8       12         13577   4
    9       16         13704   4
   10       20         13878   4
   11       32         13905   4
   12       38         15125   4
   13       43          9842   4
   14       52         13885   4
   15       54          4296   4
   16       65         13620   4
   17       66         13877   4
   18       68          5173   4
   19       69         13361   4
   20       71          9880   4
   21       73         14132   4
   22       91          9663   4
   23       99          9414   4
   24      103         15134   4
   25      105          9724   4
   26      108         13176   4
   27      111          9903   4
   28      121         13309   4
   29      126          9315   4
   30      137         13618   4
   31      145         36017   5
   32      157          8071   5
   33      171          5113   6
   34      183          3803   6
   35      205         14117   7
   36      235         14162   7
   37      250         14109   7
   38      255         14142   7
   39      274         14169   7
   40      319          9175  11
   41      359         16167  12
   42      392         56849  12
   43      395         11987  12
   44      408          1796  12
   45      412          5223  12
   46      439         10715  12
   47      461          9695  12
   48      473           529  12
   49      477         13318  12
   50      496         13510  12
   51      512         13525  12
   52      519         13854  12
   53      523         57313  12
   54      569            91  12
   55      595         11153  12
   56      596          1158  12
   57      611          9849  12
   58      633         13846  12
   59      634          9515  12
   60      672         12170  12
   61      678          1892  12
   62      681          6240  12
   63      692         13700  12
   64      715         13839  12
   65      767          1645  13
   66      814          9609  13
   67      833         14054  13
   68      844           798  13
   69      855         58004  13
   70      932          9858  13
   71      938         13773  13
   72      973           626  13
   73     1005         13301  13
   74     1067         13806  13
   75     1093         13475  13
   76     1157          5367  13
   77     1167         11356  13
   78     1221          9707  13
   79     1227         13797  13
   80     1231         36262  13
   81     1283          3681  13
   82     1291          9873  13
   83     1308         15344  13
   84     1363           546  13
   85     1390          9451  13
   86     1449           269  13
   87     1450         13578  13
   88     1542          9848  13
   89     1552         11825  13
   90     1607            76  14
   91     1614          9198  14
   92     1680          4259  14
   93     1752           633  14
   94     1794         11378  14
   95     1811          5577  14
   96     1817          6145  14
   97     1827          9131  14
   98     1829          7974  14
   99     1872         35336  14
  100     1873         11980  14
  101     1902         13923  14
  102     2022         13597  14
  103     2098         11264  14
  104     2107         35295  14
  105     2410         16442  14
  106     2550        110391  14
  107     2741            85  14
  108     2816         11898  14
  109     2820         12106  14
  110     2952         11849  14
  111     3060        110744  14
  112     3174          6054  15
  113     3298          8310  15
  114     3387          1014  15
  115     3404         37137  15
  116     3420          9087  15
  117     3430          9246  15
  118     3462          6157  15
  119     3531          6235  15
  120     3627          6381  15
  121     3780         10691  15
  122     3866         11957  15
  123     3973         12682  15
  124     3980         35180  15
  125     4354         10587  15
  126     4701         13378  15
  127     4811          1926  15
  128     4830          5882  15
  129     4849         12110  15
  130     4913         12615  15
  131     5078          1790  17
  132     5080           413  17
  133     5375          1283  17
  134     5463           143  17
  135     5706          6171  17
  136     6287          3729  17
  137     6797          3788  17
  138     6966          1832  17
  139     7109          4420  17
  140     7614         11976  18
  141     7620         39029  18
  142     7705         12477  18
  143     7820         35977  18
  144     7914         10642  18
  145     7940          8160  18
  146     8385          5645  18
  147     8595           411  18
  148     8703        104786  18
  149     9133         35217  18
  150     9350         12566  18
  151     9825          5680  18
  152    10517        106443  20
  153    10577        107514  20
  154    10829        105275  20
  155    11196        107531  20

 Number of targets:         155


 Target breakdown by Priority Class:

   Pri    Number
    1       4
    2       1
    3       1
    4      24
    5       2
    6       2
    7       5
    8       0
    9       0
   10       0
   11       1
   12      24
   13      25
   14      22
   15      19
   16       0
   17       9
   18      12
   19       0
   20       4



