

Group Number: 1
Number of common targets in Group: 4
Number of pointings in Group: 235
 Targets in group: 
         ID_cat
       14170
       14220
        6139
       58975
 Pointing
   No. Coverage   RA [deg]       Dec [deg]     pa_ap [deg]
    1     4     53.140153926  -27.789124075   99.579406738
    2     4     53.140319805  -27.789148846   99.579345703
    3     4     53.141480559  -27.789322184   99.578796387
    4     4     53.140017567  -27.789221258   99.579467773
    5     4     53.140181435  -27.789244957   99.579406738
    6     4     53.140345287  -27.789268679   99.579345703
    7     4     53.141459887  -27.789429925   99.578796387
    8     4     53.141445752  -27.789503591   99.578796387
    9     4     53.140117958  -27.789311528   99.579467773
   10     4     53.140283983  -27.789335543   99.579345703
   11     4     53.138528340  -27.789080179   99.580200195
   12     4     53.140367168  -27.789423302   99.579345703
   13     4     53.141431615  -27.789577253   99.578857422
   14     4     53.138514362  -27.789153500   99.580200195
   15     4     53.140097665  -27.789417260   99.579467773
   16     4     53.140255706  -27.789482894   99.579406738
   17     4     53.141417477  -27.789650921   99.578857422
   18     4     53.138500382  -27.789226824   99.580200195
   19     4     53.141403336  -27.789724591   99.578857422
   20     4     53.138581062  -27.789313954   99.580139160
   21     4     53.140069372  -27.789564644   99.579467773
   22     4     53.140235300  -27.789589184   99.579406738
   23     4     53.141389197  -27.789798260   99.578857422
   24     4     53.140055225  -27.789638335   99.579467773
   25     4     53.140221149  -27.789662881   99.579406738
   26     4     53.141375055  -27.789871921   99.578857422
   27     4     53.138458435  -27.789446795   99.580200195
   28     4     53.140090984  -27.789719415   99.579467773
   29     4     53.140254745  -27.789743628   99.579406738
   30     4     53.141360930  -27.789945479   99.578857422
   31     4     53.141346863  -27.790018750   99.578857422
   32     4     53.140062869  -27.789866829   99.579467773
   33     4     53.140226628  -27.789891056   99.579406738
   34     4     53.141332793  -27.790092020   99.578857422
   35     4     53.140260717  -27.789971880   99.579345703
   36     4     53.141318723  -27.790165289   99.578857422
   37     4     53.139984460  -27.790006831   99.579528809
   38     4     53.140150387  -27.790031364   99.579406738
   39     4     53.141304647  -27.790238562   99.578918457
   40     4     53.140136232  -27.790105063   99.579406738
   41     4     53.139970299  -27.790080534   99.579528809
   42     4     53.141290572  -27.790311833   99.578918457
   43     4     53.139956141  -27.790154234   99.579528809
   44     4     53.140122073  -27.790178751   99.579467773
   45     4     53.141276498  -27.790385105   99.578918457
   46     4     53.140107911  -27.790252451   99.579467773
   47     4     53.139941981  -27.790227935   99.579528809
   48     4     53.141262419  -27.790458378   99.578918457
   49     4     53.140025649  -27.790316086   99.579467773
   50     4     53.140189201  -27.790340244   99.579406738
   51     4     53.139899486  -27.790449031   99.579528809
   52     4     53.140065423  -27.790473534   99.579467773
   53     4     53.140100061  -27.790554445   99.579467773
   54     4     53.141198221  -27.790792426   99.578918457
   55     4     53.139871153  -27.790596414   99.579528809
   56     4     53.140037090  -27.790620932   99.579467773
   57     4     53.141184062  -27.790866104   99.578918457
   58     4     53.139908147  -27.790677681   99.579528809
   59     4     53.140071919  -27.790701868   99.579467773
   60     4     53.141169895  -27.790939774   99.578979492
   61     4     53.139842814  -27.790743817   99.579589844
   62     4     53.140008754  -27.790768319   99.579467773
   63     4     53.141141562  -27.791087131   99.578979492
   64     4     53.139814468  -27.790891220   99.579589844
   65     4     53.139980409  -27.790915717   99.579528809
   66     4     53.141127394  -27.791160810   99.578979492
   67     4     53.139896835  -27.790979174   99.579528809
   68     4     53.140060399  -27.791003308   99.579467773
   69     4     53.139786118  -27.791038612   99.579589844
   70     4     53.139952062  -27.791063113   99.579528809
   71     4     53.139868188  -27.791126511   99.579528809
   72     4     53.140031768  -27.791150663   99.579467773
   73     4     53.140919040  -27.791357353   99.579040527
   74     4     53.139757760  -27.791186016   99.579589844
   75     4     53.139923703  -27.791210503   99.579528809
   76     4     53.140904863  -27.791431036   99.579101562
   77     4     53.141070703  -27.791455516   99.578979492
   78     4     53.139743579  -27.791259707   99.579589844
   79     4     53.139909524  -27.791284202   99.579528809
   80     4     53.140890689  -27.791504719   99.579101562
   81     4     53.141056527  -27.791529185   99.578979492
   82     4     53.140876511  -27.791578399   99.579101562
   83     4     53.141042350  -27.791602864   99.579040527
   84     4     53.139701032  -27.791480814   99.579650879
   85     4     53.139866975  -27.791505281   99.579589844
   86     4     53.140862331  -27.791652083   99.579101562
   87     4     53.141028171  -27.791676543   99.579040527
   88     4     53.138103170  -27.791295882   99.580383301
   89     4     53.140848148  -27.791725755   99.579101562
   90     4     53.141013992  -27.791750224   99.579040527
   91     4     53.139686842  -27.791554518   99.579650879
   92     4     53.138089042  -27.791369188   99.580383301
   93     4     53.139672657  -27.791628209   99.579650879
   94     4     53.140833967  -27.791799438   99.579101562
   95     4     53.140999807  -27.791823903   99.579040527
   96     4     53.138074918  -27.791442495   99.580383301
   97     4     53.140898363  -27.791884702   99.579101562
   98     4     53.141061849  -27.791908808   99.578979492
   99     4     53.138060793  -27.791515802   99.580383301
  100     4     53.140971439  -27.791971242   99.579040527
  101     4     53.139644277  -27.791775614   99.579650879
  102     4     53.139810223  -27.791800067   99.579589844
  103     4     53.140805597  -27.791946804   99.579101562
  104     4     53.138046665  -27.791589109   99.580383301
  105     4     53.140791411  -27.792020476   99.579101562
  106     4     53.140957254  -27.792044922   99.579040527
  107     4     53.139630086  -27.791849317   99.579650879
  108     4     53.139796031  -27.791873767   99.579589844
  109     4     53.138032531  -27.791662415   99.580444336
  110     4     53.140777223  -27.792094159   99.579162598
  111     4     53.140943068  -27.792118602   99.579040527
  112     4     53.138112695  -27.791749444   99.580383301
  113     4     53.139607420  -27.791966981   99.579650879
  114     4     53.139773426  -27.791991141   99.579589844
  115     4     53.140748844  -27.792241524   99.579162598
  116     4     53.140914687  -27.792265951   99.579101562
  117     4     53.139587500  -27.792070417   99.579711914
  118     4     53.139753449  -27.792094869   99.579589844
  119     4     53.139565073  -27.792186845   99.579711914
  120     4     53.139731076  -27.792211002   99.579650879
  121     4     53.137975734  -27.791957010   99.580444336
  122     4     53.140798091  -27.792400324   99.579101562
  123     4     53.140961576  -27.792424397   99.579040527
  124     4     53.140698579  -27.792502447   99.579162598
  125     4     53.140864480  -27.792526585   99.579101562
  126     4     53.138041675  -27.792118048   99.580383301
  127     4     53.140761776  -27.792586967   99.579162598
  128     4     53.140925326  -27.792610763   99.579040527
  129     4     53.139522655  -27.792406967   99.579711914
  130     4     53.139688714  -27.792430869   99.579650879
  131     4     53.137933069  -27.792178224   99.580444336
  132     4     53.139562108  -27.792488404   99.579711914
  133     4     53.139726000  -27.792511981   99.579650879
  134     4     53.140670339  -27.792648995   99.579162598
  135     4     53.140836241  -27.792673132   99.579101562
  136     4     53.137918845  -27.792251967   99.580444336
  137     4     53.140656215  -27.792722272   99.579162598
  138     4     53.140822119  -27.792746405   99.579101562
  139     4     53.139494241  -27.792554401   99.579711914
  140     4     53.139660300  -27.792578287   99.579650879
  141     4     53.137904615  -27.792325699   99.580444336
  142     4     53.139480034  -27.792628106   99.579711914
  143     4     53.139646089  -27.792652004   99.579650879
  144     4     53.137890386  -27.792399444   99.580505371
  145     4     53.139451608  -27.792775543   99.579772949
  146     4     53.139617664  -27.792799429   99.579650879
  147     4     53.137861931  -27.792546934   99.580505371
  148     4     53.140585306  -27.793090090   99.579223633
  149     4     53.140751265  -27.793113958   99.579162598
  150     4     53.139679814  -27.792959892   99.579650879
  151     4     53.137927930  -27.792708003   99.580444336
  152     4     53.139408964  -27.792996694   99.579772949
  153     4     53.139575028  -27.793020571   99.579711914
  154     4     53.140571091  -27.793163797   99.579223633
  155     4     53.140737048  -27.793187654   99.579162598
  156     4     53.137819226  -27.792768165   99.580505371
  157     4     53.140556881  -27.793237497   99.579223633
  158     4     53.140722838  -27.793261353   99.579162598
  159     4     53.137804986  -27.792841915   99.580505371
  160     4     53.140708661  -27.793335036   99.579162598
  161     4     53.139380530  -27.793144140   99.579772949
  162     4     53.139546590  -27.793168001   99.579711914
  163     4     53.140542659  -27.793311199   99.579223633
  164     4     53.137790746  -27.792915653   99.580505371
  165     4     53.140528442  -27.793384902   99.579223633
  166     4     53.140694406  -27.793408759   99.579162598
  167     4     53.137776507  -27.792989401   99.580505371
  168     4     53.140514293  -27.793458576   99.579284668
  169     4     53.140680226  -27.793482439   99.579162598
  170     4     53.139570777  -27.793323008   99.579711914
  171     4     53.139352064  -27.793291589   99.579772949
  172     4     53.137762266  -27.793063152   99.580566406
  173     4     53.140493708  -27.793564981   99.579284668
  174     4     53.140659613  -27.793589087   99.579162598
  175     4     53.139587596  -27.793433345   99.579711914
  176     4     53.137733778  -27.793210657   99.580566406
  177     4     53.140479563  -27.793638262   99.579284668
  178     4     53.140645474  -27.793662368   99.579223633
  179     4     53.139564973  -27.793549490   99.579711914
  180     4     53.137719530  -27.793284400   99.580566406
  181     4     53.140704275  -27.793746243   99.579162598
  182     4     53.140457336  -27.793753417   99.579284668
  183     4     53.139461224  -27.793610353   99.579772949
  184     4     53.139295153  -27.793586489   99.579833984
  185     4     53.140617190  -27.793808933   99.579223633
  186     4     53.140443106  -27.793827135   99.579284668
  187     4     53.139280920  -27.793660220   99.579833984
  188     4     53.139446993  -27.793684081   99.579772949
  189     4     53.137691029  -27.793431909   99.580566406
  190     4     53.140428883  -27.793900839   99.579284668
  191     4     53.140594849  -27.793924675   99.579223633
  192     4     53.139266690  -27.793733949   99.579833984
  193     4     53.139432762  -27.793757808   99.579772949
  194     4     53.137771375  -27.793519237   99.580566406
  195     4     53.140414649  -27.793974558   99.579284668
  196     4     53.137757130  -27.793592996   99.580566406
  197     4     53.140068442  -27.794000594   99.579467773
  198     4     53.140234442  -27.794024430   99.579406738
  199     4     53.140400423  -27.794048253   99.579284668
  200     4     53.140566389  -27.794072100   99.579223633
  201     4     53.139238218  -27.793881412   99.579833984
  202     4     53.139404291  -27.793905257   99.579772949
  203     4     53.140039976  -27.794148031   99.579467773
  204     4     53.140205971  -27.794171850   99.579406738
  205     4     53.140371949  -27.794195688   99.579345703
  206     4     53.140537921  -27.794219513   99.579223633
  207     4     53.139209739  -27.794028869   99.579895020
  208     4     53.139375817  -27.794052719   99.579772949
  209     4     53.137619761  -27.793800672   99.580627441
  210     4     53.140329241  -27.794416820   99.579345703
  211     4     53.139997248  -27.794369199   99.579528809
  212     4     53.140163252  -27.794393018   99.579406738
  213     4     53.139167010  -27.794250077   99.579895020
